region;incidence_2015_est;incidence_2018_est;incidence_2015_cov;incidence_2018_cov;incidence_2015_stderr;incidence_2018_stderr;magnitude_2015_est;magnitude_2018_est;magnitude_2015_cov;magnitude_2018_cov;magnitude_2015_stderr;magnitude_2018_stderr
PHILIPPINES;18.6;11.5;4.0;3.5;0.7;0.4;1674.7;865.7;4.7;3.9;77.9;34.0
NCR;;;;;;;;;;;;
CAR;13.3;6.2;16.3;9.9;2.2;0.6;43.5;17.8;20.2;10.7;8.8;1.9
Region I;7.1;1.2;26.5;33.7;1.9;0.4;37.9;5.4;29.9;34.1;11.3;1.8
Region II;3.7;5.5;19.4;13.2;0.7;0.7;28.5;35.2;23.0;14.9;6.5;5.3
Region III;8.3;2.7;19.6;23.0;1.6;0.6;49.1;13.0;23.9;23.8;11.7;3.1
Region IV-A;9.2;3.2;18.3;24.3;1.7;0.8;45.9;12.0;21.2;25.4;9.7;3.0
MIMAROPA;12.6;7.1;20.5;16.1;2.6;1.1;52.8;21.1;24.0;17.5;12.7;3.7
Region V;20.4;8.7;10.9;9.8;2.2;0.9;130.1;42.8;15.6;10.8;20.3;4.6
Region VI;13.4;8.5;15.7;23.9;2.1;2.0;126.0;56.1;20.1;26.2;25.4;14.7
Region VII;24.8;13.4;9.2;20.7;2.3;2.8;164.3;70.0;15.8;24.2;26.0;17.0
Region VIII;26.0;17.4;11.9;7.1;3.1;1.2;119.1;73.8;17.0;8.9;20.2;6.6
Region IX;29.6;22.2;11.1;8.2;3.3;1.8;150.6;82.6;17.5;10.3;26.3;8.5
Region X;37.1;10.1;10.7;9.2;4.0;0.9;217.0;56.1;18.9;10.4;41.0;5.9
Region XI;11.1;8.7;18.3;11.8;2.0;1.0;64.9;45.3;19.1;14.1;12.4;6.4
Region XII;32.5;18.6;9.9;8.8;3.2;1.6;234.1;120.8;15.9;10.7;37.1;12.9
Caraga;26.5;13.4;12.5;10.0;3.3;1.3;64.0;36.3;19.2;10.9;12.3;4.0
ARMM;27.5;34.1;13.5;5.1;3.7;1.7;146.4;177.5;17.4;7.8;25.4;13.8
